央视频道,#genre#
CCTV1,http://113.66.41.200:10000/rtp/239.77.0.119:5146$广东电信
CCTV1,http://113.66.41.200:10000/rtp/239.77.1.17:5146$广东电信
CCTV1,http://113.66.41.200:10000/rtp/239.77.1.144:5146$广东电信
CCTV1,http://113.66.41.200:10000/rtp/239.77.0.129:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.14:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.30:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.119:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.1.17:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.1.144:5146$广东电信
CCTV1,http://119.135.192.216:10000/rtp/239.77.0.129:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.0.14:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.0.30:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.0.119:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.1.17:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.1.144:5146$广东电信
CCTV1,http://14.121.144.119:10000/rtp/239.77.0.129:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.0.14:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.0.30:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.0.86:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.0.119:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.1.17:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.1.144:5146$广东电信
CCTV1,http://14.121.144.219:10000/rtp/239.77.0.129:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.0.14:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.0.30:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.0.86:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.0.119:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.1.17:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.1.144:5146$广东电信
CCTV1,http://14.19.178.40:4022/rtp/239.77.0.129:5146$广东电信
CCTV1,http://111.167.35.107:5002/rtp/225.1.1.120:5002$未知
