CGTN纪录,rtp://239.76.245.67:1234
CGTN纪录,rtp://239.76.252.67:9000
CGTN纪录,rtp://225.1.1.55:5002
CGTN西语,rtp://239.76.253.88:9000
CGTN西语,rtp://239.76.246.88:1234
CGTN阿语,rtp://239.76.253.97:9000
CGTN阿语,rtp://239.76.246.97:1234
CHC动作电影,rtp://239.76.252.243:9000
CHC动作电影,rtp://239.76.245.243:1234
CHC动作电影,rtp://225.1.1.215:5002
CHC动作电影,rtp://238.200.200.61:5540
CHC家庭影院,rtp://239.76.245.241:1234
CHC家庭影院,rtp://239.76.252.241:9000
CHC家庭影院,rtp://225.1.1.213:5002
CHC家庭影院,rtp://238.200.200.60:5540
CHC影迷电影,rtp://239.76.245.242:1234
CHC影迷电影,rtp://239.76.252.242:9000
CHC影迷电影,rtp://238.200.200.62:5540
CHC高清电影,rtp://225.1.1.214:5002
FTV足球,rtp://225.1.2.83:5002
GTV游戏竞技,rtp://225.1.1.222:5002
GTV网络棋牌,rtp://225.1.1.217:5002
三沙卫视,rtp://239.76.246.74:1234
三沙卫视,rtp://239.76.253.74:9000
三沙卫视,rtp://225.1.2.181:5002
三沙卫视,rtp://238.200.200.95:5540
三沙卫视,rtp://238.200.200.174:5540
三角英语,rtp://225.1.2.182:5002
上海教育,rtp://238.200.200.187:5540
上海新闻,rtp://238.200.200.130:5540
上海都市,rtp://238.200.200.127:5540
世界地理,rtp://239.76.254.57:9000
世界地理,rtp://238.200.200.73:5540
东南卫视,rtp://239.76.245.190:1234
东南卫视,rtp://239.76.252.190:9000
东南卫视,rtp://238.200.200.42:5540
东南卫视,rtp://238.200.200.157:5540
东方卫视,rtp://239.76.246.186:1234
东方卫视,rtp://239.76.253.186:9000
东方卫视,rtp://225.1.2.31:5002
东方卫视,rtp://238.200.200.125:5540
东方卫视,rtp://238.200.200.88:5540
东方卫视4K,rtp://239.76.254.224:9000
东方卫视4K,rtp://239.76.254.226:9000
东方卫视4K,rtp://238.200.200.20:5540
东方影视,rtp://238.200.200.128:5540
东方财*,rtp://225.1.1.247:5002
东方财经,rtp://239.76.254.69:9000
东方财经,rtp://238.200.200.36:5540
东方购物,rtp://225.1.1.223:5002
东方购物-1,rtp://238.200.200.79:5540
东方购物-2,rtp://238.200.200.7:5540
中华特产,rtp://225.1.2.197:5002
中国天气,rtp://239.76.253.61:9000
中国天气,rtp://239.76.246.61:1234
中国天气,rtp://225.1.2.119:5002
中视购物,rtp://225.1.2.85:5002
临武综合,rtp://239.76.246.66:1234
临武综合,rtp://239.76.253.69:9000
乐游,rtp://239.76.254.68:9000
乐游,rtp://225.1.1.145:5002
乐游,rtp://238.200.200.32:5540
书法,rtp://225.1.2.22:5002
云南卫视,rtp://239.76.254.60:9000
云南卫视,rtp://225.1.1.61:5002
云南卫视,rtp://238.200.200.234:5540
云南卫视,rtp://238.200.200.165:5540
五星体育,rtp://238.200.200.131:5540
优乐购,rtp://239.76.253.112:9000
优优宝贝,rtp://225.1.2.203:5002
优购物,rtp://239.76.254.63:9000
优购物,rtp://225.1.1.225:5002
保定卫视,rtp://225.1.1.83:5002
信源检修,rtp://239.76.254.118:9000
信源检修,rtp://239.76.254.119:9000
信源检修,rtp://239.76.254.120:9000
信源检修,rtp://239.76.254.121:9000
信源检修,rtp://239.76.254.122:9000
信源检修,rtp://239.76.254.123:9000
信源检修,rtp://239.76.254.124:9000
信源检修,rtp://239.76.254.125:9000
信源检修,rtp://239.76.254.126:9000
信源检修,rtp://239.76.254.127:9000
信源检修,rtp://239.76.254.128:9000
信源检修,rtp://239.76.254.129:9000
信源检修,rtp://239.76.254.130:9000
信源检修,rtp://239.76.254.131:9000
信源检修,rtp://239.76.254.133:9000
信源检修,rtp://239.76.254.134:9000
信源检修,rtp://239.76.254.135:9000
信源检修,rtp://239.76.254.78:9000
信源检修,rtp://239.76.254.79:9000
信源检修,rtp://239.76.254.80:9000
信源检修,rtp://239.76.254.82:9000
信源检修,rtp://239.76.254.83:9000
信源检修,rtp://239.76.254.84:9000
信源检修,rtp://239.76.254.85:9000
信源检修,rtp://239.76.254.86:9000
信源检修,rtp://239.76.254.87:9000
信源检修,rtp://239.76.254.88:9000
信源检修,rtp://239.76.254.89:9000
信源检修,rtp://239.76.254.90:9000
信源检修,rtp://239.76.254.91:9000
信源检修,rtp://239.76.254.92:9000
信源检修,rtp://239.76.254.93:9000
信源检修,rtp://239.76.254.94:9000
信源检修,rtp://239.76.254.95:9000
信源检修,rtp://239.76.254.96:9000
信源检修,rtp://239.76.254.97:9000
信源检修,rtp://239.76.254.98:9000
信源检修,rtp://239.76.254.99:9000
信源检修4K,rtp://239.76.254.2:9000
信源检修4K,rtp://239.76.254.3:9000
信源检修4K,rtp://239.76.254.4:9000
信源检修4K,rtp://239.76.254.77:9000
信源检测,rtp://239.76.245.185:1234
信源检测,rtp://239.76.245.212:1234
信源检测,rtp://239.76.245.227:1234
信源检测,rtp://239.76.245.228:1234
信源检测,rtp://239.76.245.229:1234
信源检测,rtp://239.76.246.68:1234
信源检测,rtp://239.76.252.212:9000
信源检测,rtp://239.76.252.227:9000
信源检测,rtp://239.76.252.228:9000
信源检测,rtp://239.76.252.229:9000
信源检测,rtp://239.76.253.71:9000
先锋乒羽,rtp://225.1.1.219:5002
兵器科技,rtp://239.76.254.59:9000
兵器科技,rtp://238.200.200.69:5540
兵团卫视,rtp://239.76.252.232:9000
兵团卫视,rtp://239.76.245.232:1234
兵团卫视,rtp://225.1.1.57:5002
兵团卫视,rtp://238.200.200.23:5540
内蒙古卫视,rtp://225.1.1.32:5002
内蒙古卫视,rtp://238.200.200.28:5540
凤凰中文,rtp://239.76.253.135:9000
凤凰中文,rtp://239.76.246.134:1234
凤凰资讯,rtp://239.76.246.135:1234
凤凰资讯,rtp://239.76.253.134:9000
动漫秀场,rtp://239.76.254.70:9000
动漫秀场,rtp://225.1.1.134:5002
动漫秀场,rtp://238.200.200.33:5540
北京卫视,rtp://239.76.246.184:1234
北京卫视,rtp://239.76.253.184:9000
北京卫视,rtp://225.1.1.113:5002
北京卫视,rtp://238.200.200.137:5540
北京卫视,rtp://238.200.200.47:5540
北京卫视4K,rtp://239.76.253.150:9000
北京卫视4K,rtp://239.76.246.150:1234
北京卫视4K,rtp://239.76.246.246:1234
北京卫视4K,rtp://238.200.200.129:5540
北京卫视4K,rtp://238.200.200.11:5540
北京纪实科教,rtp://239.76.254.65:9000
卡酷少儿,rtp://239.76.254.81:9000
卡酷少儿,rtp://225.1.1.58:5002
卡酷少儿,rtp://238.200.200.218:5540
卫生健康,rtp://239.76.246.247:1234
吉林卫视,rtp://239.76.253.201:9000
吉林卫视,rtp://239.76.246.201:1234
吉林卫视,rtp://225.1.2.26:5002
吉林卫视,rtp://238.200.200.236:5540
吉林卫视,rtp://238.200.200.160:5540
哈哈炫动,rtp://225.1.1.62:5002
哈哈炫动,rtp://238.200.200.176:5540
四川卫视,rtp://239.76.253.91:9000
四川卫视,rtp://239.76.246.91:1234
四川卫视,rtp://225.1.1.123:5002
四川卫视,rtp://238.200.200.44:5540
四川卫视,rtp://238.200.200.154:5540
四川卫视4K,rtp://239.76.254.234:9000
四川卫视4K,rtp://239.76.254.232:9000
四川卫视4K,rtp://238.200.200.100:5540
四海钓鱼,rtp://239.76.246.4:1234
四海钓鱼,rtp://239.76.253.4:9000
四海钓鱼,rtp://225.1.2.202:5002
大港油田企业,rtp://225.1.2.14:5002
天元围棋,rtp://239.76.246.2:1234
天元围棋,rtp://239.76.253.2:9000
天津IPTV,rtp://225.1.2.123:5002
天津交通广播,rtp://225.1.1.175:5002
天津体育,rtp://225.1.1.122:5002
天津农村广播,rtp://225.1.1.180:5002
天津卫视,rtp://239.76.253.185:9000
天津卫视,rtp://239.76.246.185:1234
天津卫视,rtp://225.1.1.111:5002
天津卫视,rtp://238.200.200.39:5540
天津卫视,rtp://238.200.200.158:5540
天津小说广播,rtp://225.1.1.177:5002
天津少儿,rtp://225.1.1.125:5002
天津影视,rtp://225.1.1.149:5002
天津文艺,rtp://225.1.1.131:5002
天津文艺广播,rtp://225.1.1.171:5002
天津新闻,rtp://225.1.1.130:5002
天津新闻广播,rtp://225.1.1.173:5002
天津滨海广播,rtp://225.1.1.178:5002
天津生活广播,rtp://225.1.1.174:5002
天津相声广播,rtp://225.1.1.176:5002
天津科教,rtp://225.1.1.129:5002
天津经济广播,rtp://225.1.1.172:5002
天津购物,rtp://225.1.1.151:5002
天津购物自营,rtp://225.1.1.108:5002
天津都市,rtp://225.1.1.128:5002
天津音乐广播,rtp://225.1.1.179:5002
央广购物,rtp://225.1.1.65:5002
央广购物,rtp://238.200.200.249:5540
央视台球,rtp://239.76.254.58:9000
央视台球,rtp://238.200.200.68:5540
央视文化精品,rtp://239.76.254.56:9000
央视文化精品,rtp://238.200.200.83:5540
女性时尚,rtp://239.76.254.55:9000
女性时尚,rtp://238.200.200.74:5540
好享购物,rtp://225.1.1.224:5002
宁夏卫视,rtp://239.76.252.107:9000
宁夏卫视,rtp://239.76.245.107:1234
宁夏卫视,rtp://225.1.1.56:5002
宁夏卫视,rtp://238.200.200.151:5540
安徽卫视,rtp://239.76.245.196:1234
安徽卫视,rtp://239.76.252.196:9000
安徽卫视,rtp://225.1.1.127:5002
安徽卫视,rtp://238.200.200.38:5540
安徽卫视,rtp://238.200.200.156:5540
家家购物,rtp://225.1.1.227:5002
家庭理*,rtp://225.1.2.23:5002
家有购物,rtp://225.1.1.226:5002
山东卫视,rtp://239.76.253.195:9000
山东卫视,rtp://239.76.246.195:1234
山东卫视,rtp://238.200.200.141:5540
山东卫视,rtp://238.200.200.51:5540
山东卫视4K,rtp://239.76.254.228:9000
山东卫视4K,rtp://239.76.254.230:9000
山东卫视4K,rtp://238.200.200.103:5540
山东教育卫视,rtp://225.1.2.118:5002
山西卫视,rtp://225.1.1.50:5002
山西卫视,rtp://238.200.200.104:5540
常德综合,rtp://239.76.248.10:1234
幸福剧场,rtp://225.1.2.59:5002
幸福娱乐,rtp://225.1.2.60:5002
幸福彩,rtp://225.1.1.152:5002
广东卫视,rtp://239.76.252.189:9000
广东卫视,rtp://239.76.245.189:1234
广东卫视,rtp://225.1.1.116:5002
广东卫视,rtp://238.200.200.138:5540
广东卫视,rtp://238.200.200.54:5540
广东卫视4K,rtp://239.76.254.138:9000
广东卫视4K,rtp://238.200.200.30:5540
广西卫视,rtp://239.76.254.54:9000
广西卫视,rtp://225.1.2.81:5002
广西卫视,rtp://238.200.200.235:5540
广西卫视,rtp://238.200.200.153:5540
延边卫视,rtp://238.200.200.75:5540
张家界公共,rtp://239.76.245.235:1234
张家界公共,rtp://239.76.252.235:9000
张家界综合,rtp://239.76.252.234:9000
待确认,rtp://239.76.245.234:1234
快乐垂钓,rtp://239.76.246.5:1234
快乐垂钓,rtp://239.76.245.127:1234
快乐垂钓,rtp://239.76.252.127:9000
快乐垂钓,rtp://239.76.253.5:9000
快乐垂钓,rtp://225.1.1.92:5002
快乐垂钓,rtp://238.200.200.247:5540
快乐生活,rtp://225.1.2.24:5002
快乐购,rtp://239.76.252.125:9000
快乐购,rtp://239.76.245.125:1234
快乐购,rtp://239.76.246.112:1234
怀旧剧场,rtp://239.76.254.53:9000
怀旧剧场,rtp://238.200.200.77:5540
悦美生活,rtp://225.1.2.55:5002
文物宝库,rtp://239.76.252.180:9000
文物宝库,rtp://239.76.245.180:1234
文物宝库,rtp://225.1.2.105:5002
新动漫,rtp://225.1.1.216:5002
新影中学生,rtp://225.1.1.193:5002
新影老故事,rtp://225.1.1.188:5002
新疆卫视,rtp://239.76.252.109:9000
新疆卫视,rtp://239.76.245.109:1234
新疆卫视,rtp://225.1.1.35:5002
新疆卫视,rtp://238.200.200.22:5540
旅游卫视,rtp://239.76.253.203:9000
旅游卫视,rtp://238.200.200.85:5540
旅游卫视,rtp://238.200.200.152:5540
无信号,rtp://239.76.245.136:1234
极速汽车,rtp://225.1.1.141:5002
桂东融媒,rtp://239.76.253.231:9000
桂东融媒,rtp://239.76.246.231:1234
梨园频道,rtp://239.76.245.179:1234
梨园频道,rtp://239.76.252.179:9000
梨园频道,rtp://225.1.2.104:5002
欢乐动漫,rtp://225.1.1.132:5002
欢笑剧场,rtp://238.200.200.35:5540
欢笑剧场4K,rtp://239.76.254.66:9000
欢笑剧场4K,rtp://239.76.253.43:9000
欢笑剧场4K,rtp://239.76.246.43:1234
欢笑剧场4K,rtp://225.1.1.139:5002
欢笑剧场4K,rtp://238.200.200.252:5540
武术世界,rtp://239.76.245.181:1234
武术世界,rtp://239.76.252.181:9000
武术世界,rtp://225.1.2.129:5002
每日影院,rtp://225.1.2.57:5002
永州新闻综合,rtp://239.76.248.23:1234
江苏卫视,rtp://239.76.253.181:9000
江苏卫视,rtp://239.76.246.181:1234
江苏卫视,rtp://225.1.1.126:5002
江苏卫视,rtp://238.200.200.135:5540
江苏卫视,rtp://238.200.200.48:5540
江苏卫视4K,rtp://239.76.254.216:9000
江苏卫视4K,rtp://239.76.254.218:9000
江苏卫视4K,rtp://238.200.200.101:5540
江西卫视,rtp://239.76.252.225:9000
江西卫视,rtp://239.76.245.225:1234
江西卫视,rtp://225.1.2.29:5002
江西卫视,rtp://238.200.200.40:5540
江西卫视,rtp://238.200.200.159:5540
汽摩,rtp://225.1.1.205:5002
河东卫视,rtp://225.1.2.2:5002
河北卫视,rtp://239.76.245.199:1234
河北卫视,rtp://239.76.252.199:9000
河北卫视,rtp://225.1.2.27:5002
河北卫视,rtp://238.200.200.225:5540
河北卫视,rtp://238.200.200.167:5540
河南卫视,rtp://239.76.253.202:9000
河南卫视,rtp://239.76.246.202:1234
河南卫视,rtp://239.76.246.203:1234
河南卫视,rtp://225.1.2.61:5002
河南卫视,rtp://238.200.200.233:5540
河南卫视,rtp://238.200.200.171:5540
河西卫视,rtp://225.1.2.4:5002
法制天地,rtp://225.1.1.237:5002
法治天地,rtp://239.76.254.67:9000
法治天地,rtp://238.200.200.99:5540
浙江卫视,rtp://239.76.246.182:1234
浙江卫视,rtp://239.76.253.182:9000
浙江卫视,rtp://225.1.1.112:5002
浙江卫视,rtp://238.200.200.134:5540
浙江卫视,rtp://238.200.200.49:5540
浙江卫视4K,rtp://239.76.254.222:9000
浙江卫视4K,rtp://239.76.254.220:9000
浙江卫视4K,rtp://238.200.200.106:5540
海南卫视,rtp://225.1.2.82:5002
深圳卫视,rtp://239.76.246.188:1234
深圳卫视,rtp://239.76.253.188:9000
