陕西卫视SD,rtp://238.255.2.72:5999
厦门卫视SD,rtp://238.255.2.205:5999
内蒙古卫视SD,rtp://238.255.2.53:5999
三沙卫视SD,rtp://238.255.2.203:5999
康巴卫视SD,rtp://238.255.2.140:5999
延边卫视SD,rtp://238.255.2.57:5999
延边卫视SD,rtp://238.255.2.204:5999
嘉佳卡通SD,rtp://238.255.2.62:5999
重庆汽摩SD,rtp://238.255.2.148:5999
CGTV法语SD,rtp://238.255.2.83:5999
中央新影中学生SD,rtp://238.255.2.181:5999
中央新影发现之旅SD,rtp://238.255.2.184:5999
中央新影老故事SD,rtp://238.255.2.35:5999
农林卫视SD,rtp://238.255.2.120:5999
安多卫视SD,rtp://238.255.2.189:5999
待确认SD,rtp://238.255.2.162:5999
西藏卫视藏语SD,rtp://238.255.2.23:5999
贵州移动电视SD,rtp://238.255.2.117:5999
贵州3影视,rtp://238.255.2.159:5999,
贵州3影视,rtp://238.255.2.187:5999,
贵州3影视,rtp://238.255.2.200:5999,
贵州3影视,rtp://238.255.2.183:5999,
贵州3影视,rtp://238.255.2.159:5999
贵州3影视,rtp://238.255.2.187:5999
贵州3影视,rtp://238.255.2.200:5999
贵州3影视,rtp://238.255.2.183:5999
